Author_id,Count,Non_Lxi/Lxi,CountN,CountNC,CountLXI,CountBLANK,Behavior(N/NC),Behavior(Lxi/Blank)
223732,3,"['LxI', 'LxI', 'LxI']",0,0,3,0,[],['Thread Starter']
216893,8,"['blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,0,8,[],['Blank']
227152,12,"['LxI', 'LxI', 'LxI', 'N', 'LxI', 'LxI', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank']",1,0,6,5,['Thread Comment'],['Both']
220470,1,['N'],1,0,0,0,['Thread Comment'],[]
220115,35,"['blank', 'LxI', 'blank', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'N', 'LxI', 'blank', 'blank', 'blank']",1,4,2,28,['Both'],['Both']
219468,15,"['LxI', 'NC', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank']",0,3,1,11,['Comment'],['Both']
213596,5,"['LxI', 'blank', 'LxI', 'blank', 'N']",1,0,2,2,['Thread Comment'],['Both']
215437,11,"['LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'NC', 'LxI', 'LxI', 'LxI', 'LxI']",0,1,5,5,['Comment'],['Both']
215521,1,['blank'],0,0,0,1,[],['Blank']
224561,6,"['N', 'blank', 'blank', 'blank', 'blank', 'N']",2,0,0,4,['Thread Comment'],['Blank']
226351,4,"['LxI', 'LxI', 'LxI', 'LxI']",0,0,4,0,[],['Thread Starter']
222371,3,"['N', 'LxI', 'LxI']",1,0,2,0,['Thread Comment'],['Thread Starter']
220304,6,"['LxI', 'LxI', 'LxI', 'N', 'LxI', 'LxI']",1,0,5,0,['Thread Comment'],['Thread Starter']
225801,3,"['LxI', 'LxI', 'LxI']",0,0,3,0,[],['Thread Starter']
219273,1,['blank'],0,0,0,1,[],['Blank']
212876,3,"['blank', 'LxI', 'blank']",0,0,1,2,[],['Both']
220217,2,"['LxI', 'LxI']",0,0,2,0,[],['Thread Starter']
211540,7,"['LxI', 'blank', 'blank', 'LxI', 'blank', 'blank', 'N']",1,0,2,4,['Thread Comment'],['Both']
211751,2,"['blank', 'blank']",0,0,0,2,[],['Blank']
211758,5,"['blank', 'LxI', 'blank', 'blank', 'LxI']",0,0,2,3,[],['Both']
218292,1,['N'],1,0,0,0,['Thread Comment'],[]
227334,1,['LxI'],0,0,1,0,[],['Thread Starter']
223882,7,"['LxI', 'LxI', 'blank', 'LxI', 'N', 'LxI', 'LxI']",1,0,5,1,['Thread Comment'],['Both']
213412,4,"['LxI', 'LxI', 'LxI', 'LxI']",0,0,4,0,[],['Thread Starter']
212136,15,"['LxI', 'blank', 'NC', 'LxI', 'blank', 'NC', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI']",0,2,5,8,['Comment'],['Both']
222795,4,"['blank', 'blank', 'blank', 'blank']",0,0,0,4,[],['Blank']
220872,4,"['LxI', 'LxI', 'LxI', 'N']",1,0,3,0,['Thread Comment'],['Thread Starter']
221100,5,"['LxI', 'NC', 'LxI', 'LxI', 'LxI']",0,1,4,0,['Comment'],['Thread Starter']
227033,12,"['LxI', 'NC', 'NC', 'LxI', 'blank', 'NC', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'LxI']",0,3,6,3,['Comment'],['Both']
215945,10,"['LxI', 'blank', 'LxI', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank', 'blank']",0,0,2,8,[],['Both']
217937,1,['LxI'],0,0,1,0,[],['Thread Starter']
223762,16,"['blank', 'blank', 'blank', 'blank', 'LxI', 'blank', 'blank', 'blank', 'LxI', 'LxI', 'LxI', 'NC', 'LxI', 'blank', 'blank', 'N']",1,1,5,9,['Both'],['Both']
213291,1,['blank'],0,0,0,1,[],['Blank']
218097,3,"['LxI', 'blank', 'blank']",0,0,1,2,[],['Both']
219334,5,"['LxI', 'blank', 'blank', 'blank', 'blank']",0,0,1,4,[],['Both']
221237,2,"['LxI', 'LxI']",0,0,2,0,[],['Thread Starter']
216784,1,['LxI'],0,0,1,0,[],['Thread Starter']
